"CaseReferenceNumber"	"MotionID"	"CaseLocation"	"CaseMajorCode"	"CaseMinorCode"	"CaseTrialListType"	"CaseMarkingCode"	"CaseDispositionJudgeJurisNo"	"CaseDispositionDocketLegendCode"	"MotionResultCode"	"MotionFilingParty"	"MotionDocketLegendCode"	"MotionJurisNumber"	"MotionDocumentPriorityCode"	"CaseAttorneyJuris"	"CaseAttorneyType"	"MotionTimeDuration"	"MotionDocumentTypeName"	"SelfRepBeforeMotionFileCount"	"SelfRepBeforeMotionDecidedCount"	"SelfRepBeforeMotionFileBool"	"SelfRepBeforeMotionDecidedBool"
3542291	18394221	"NNH"	"T"	28	9	15	NA	"WDACT"	"GR"	"P"	"MSTRIKE"	427443	30	427443	"J"	49	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3455542	18398963	"FBT"	"T"	90	-1	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	412184	30	412184	"R"	162	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3589388	18400524	"UWY"	"T"	90	-1	NA	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	419014	30	419014	"J"	210	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3589374	18400555	"UWY"	"T"	90	-1	NA	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	419014	30	419014	"J"	210	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3589402	18400586	"UWY"	"T"	90	-1	NA	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	419014	30	419014	"J"	210	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3600915	18290767	"FST"	"T"	90	9	3	89996	"TOUSDCT"	"OR"	"D"	"MSTRIKE"	433233	30	433233	"J"	148	"MOTION TO STRIKE"	1	1	TRUE	TRUE
3552915	18342499	"FBT"	"V"	1	9	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	412184	30	412184	"R"	154	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3608043	18402356	"HHB"	"V"	4	-1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	423182	30	423182	"K"	45	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3589361	18400610	"UWY"	"T"	90	-1	NA	411103	"WDACT"	"DN"	"D"	"MSTRIKE"	419014	30	419014	"J"	210	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3611255	18291478	"TTD"	"T"	3	9	1	411103	"WDACT"	"DN"	"P"	"MSTRIKE"	401704	30	401704	"R"	53	"MOTION TO STRIKE"	0	0	FALSE	FALSE
